id,title,year,category,materials,dimensions,image-main,image-thumb,extra-view-01,extra-view-02,extra-view-03,extra-view-04,extra-view-05,extra-view-06,status,tags,slug,subtitle,shop_drawing,description,related_works,related_sketches
sc-1976-010-kathryn-scheld,Kathryn Scheld,1976,SC,plasticine,12 × 12 × 12 in.,sc-1976-010-kathryn-scheld-main.jpg,sc-1976-010-kathryn-scheld-thumb.jpg,sc-1976-010-kathryn-scheld-front.jpg,sc-1976-010-kathryn-scheld-work-in-progress.jpg,,,,,,,kathryn-scheld,,,,,
sc-1976-020-untitled-bust,Untitled Bust,1976,SC,cast plaster with patina,16 × 16 × 11 in.,sc-1976-020-untitled-bust-main.jpg,sc-1976-020-untitled-bust-thumb.jpg,,,,,,,,,untitled-bust,,,,,
sc-1977-010-brick-arch-01,Brick Arch I,1977,SC,"brick, wood, nails, cable, and cast concrete",40 × 108 × 10 in.,sc-1977-010-brick-arch-01-main.jpg,sc-1977-010-brick-arch-01-thumb.jpg,sc-1977-010-brick-arch-01-detail-01.jpg,sc-1977-010-brick-arch-01-detail-02.jpg,sc-1977-010-brick-arch-01-side.jpg,,,,,brick-arch-series,brick-arch-01,,,,,
sc-1977-020-brick-arch-02,Brick Arch II,1977,SC,"brick, wood, and stones",20 × 40 × 8 in.,sc-1977-020-brick-arch-02.jpg,sc-1977-020-brick-arch-02-thumb.jpg,,,,,,,,brick-arch-series,brick-arch-02,,,,,
sc-1977-030-brick-arch-03,Brick Arch III,1977,SC,"brick, wood, and steel cable",34 × 50 × 14 in.,sc-1977-030-brick-arch-03-main.jpg,sc-1977-030-brick-arch-03-thumb.jpg,,,,,,,,brick-arch-series,brick-arch-03,,,,,
sc-1977-040-brick-arch-04,Brick Arch IV,1977,SC,"brick, steel",27 × 30 × 8 in.,sc-1977-040-brick-arch-04-main.jpg,sc-1977-040-brick-arch-04-thumb.jpg,,,,,,,,brick-arch-series,brick-arch-04,,,,,
sc-1978-150-that-change-01-corrugated-steel,That Change I - Corrugated Steel,1978,SC,"corrugated steel, brick, glass bottles",72 × 72 × 30 in.,sc-1978-150-that-change-01-corrugated-steel-main.jpg,sc-1978-150-that-change-01-corrugated-steel-thumb.jpg,sc-1978-150-that-change-01-corrugated-steel-detail.jpg,sc-1978-150-that-change-01-corrugated-steel-side.jpg,,,,,,that-change-series,that-change-01-corrugated-steel,,,,,
sc-1978-150-that-change-02-corrugated-steel,That Change II Corrugated Steel,1978,SC,"corrugated steel, plexiglass, glass, and brick",72 × 72 × 30 in.,sc-1978-150-that-change-02-corrugated-steel-main.jpg,sc-1978-150-that-change-02-corrugated-steel-thumb.jpg,sc-1978-150-that-change-02-corrugated-steel-detail.jpg,,,,,,,that-change-series,that-change-02-corrugated-steel,,,,,
sc-1978-200-that-change-03-column,That Change III - Column,1978,SC,"brick, bottles, plexiglass, aluminum",24 × 24 × 24 in.,sc-1978-200-that-change-03-column-main.jpg,sc-1978-200-that-change-03-column-thumb.jpg,sc-1978-200-that-change-03-column-side.jpg,,,,,,,that-change-series,that-change-03-column,,,,,
sc-1978-250-that-change-04-wood,That Change IV - Wood,1978,SC,"wood, brick, and tin cans",36 × 36 × 72 in.,sc-1978-250-that-change-04-wood-main.jpg,sc-1978-250-that-change-04-wood-thumb.jpg,sc-1978-250-that-change-04-wood-side-01.jpg,sc-1978-250-that-change-04-wood-side-02.jpg,sc-1978-250-that-change-04-wood-side-03.jpg,,,,,that-change-series,that-change-04-wood,,,,,
